대림방면,문래/도림천방면,대림방면,문래/도림천방면
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
20:35,20:18,22:42,22:23
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
20:40,20:19,22:52막,22:30
성수성수(외선),신도림까치산,성수성수(외선),신도림까치산
20:45,20:21,22:59,22:30
성수성수(외선),성수성수,성수성수,성수성수(내선)
20:52,20:25,-,22:42
성수성수(외선),성수성수(내선),-,성수성수(내선)
-,20:29,-,22:46
-,성수성수(내선),-,신도림까치산
-,20:30,-,22:53
-,신도림까치산,-,성수성수
-,20:32,23:05,23:02
-,성수성수,성수성수,신도림까치산
-,20:35,23:12막,23:03막
-,성수성수(내선),성수성수,성수성수(내선)
-,20:38,23:27막,23:14
-,신도림까치산,성수삼성,성수성수
-,20:42,23:47막,23:17
-,성수성수(내선),성수서울대입구,신도림까치산
-,20:47,-,23:22막
-,성수성수,-,성수성수
-,20:50,-,23:32
-,신도림까치산,-,신도림까치산
-,20:53,-,23:38막
-,성수성수(내선),-,성수을지로입구
-,20:59,-,23:47막
-,성수성수(내선),-,신도림까치산
21:03,21:00,-,23:50막
성수성수(외선),신도림까치산,-,성수홍대입구
21:10,21:03,-,-
성수성수(외선),성수성수(내선),-,-
21:15,21:09,-,-
성수성수(외선),성수성수(내선),-,-
21:24,21:10,-,-
성수성수(외선),신도림까치산,-,-
21:31,21:14,-,-
성수성수(외선),성수성수(내선),-,-
21:36,21:19,-,-
성수성수(외선),성수성수(내선),-,-
21:45,21:20,-,-
성수성수(외선),신도림까치산,-,-
21:54,21:27,-,-
성수성수(외선),성수성수(내선),-,-
-,21:31,-,-
-,성수성수(내선),-,-
-,21:32,-,-
-,신도림까치산,-,-
-,21:36,-,-
-,성수성수(내선),-,-
-,21:41,-,-
-,성수성수(내선),-,-
-,21:44,-,-
-,신도림까치산,-,-
-,21:45,-,-
-,성수성수,-,-
-,21:49,-,-
-,성수성수(내선),-,-
-,21:54,-,-
-,신도림까치산,-,-
-,21:55,-,-
-,성수성수(내선),-,-
22:00,22:00,-,-
성수성수(외선),성수성수(내선),-,-
22:05,22:05,-,-
성수성수(외선),신도림까치산,-,-
22:11,22:06,-,-
성수성수(외선),성수성수(내선),-,-
22:16,22:13,-,-
성수성수(외선),성수성수(내선),-,-
22:23,22:15,-,-
성수성수(외선),신도림까치산,-,-
22:33,22:22,-,-
성수성수(외선),성수성수(내선),-,-
22:40,22:26,-,-
성수성수(외선),신도림까치산,-,-
22:47,22:29,-,-
성수성수(외선),성수성수(내선),-,-
22:55,22:34,-,-
성수성수(외선),성수성수(내선),-,-
-,22:40,-,-
-,성수성수(내선),-,-
-,22:42,-,-
-,신도림까치산,-,-
-,22:45,-,-
-,성수성수(내선),-,-
-,22:50,-,-
-,성수성수(내선),-,-
-,22:56,-,-
-,신도림까치산,-,-
-,22:57,-,-
-,성수성수(내선),-,-
23:06,23:06,-,-
성수성수(외선),성수성수(내선),-,-
23:16,23:11,-,-
성수성수(외선),신도림까치산,-,-
23:24,23:19,-,-
성수성수,성수성수(내선),-,-
23:31,23:25,-,-
성수성수(외선),신도림까치산,-,-
